type,latitude,longitude,scale,sym,name,ge_hotspot
W,49.246316148,-123.163437610,1.1,http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,Arbutus-Ridge,"20,2"
W,49.246118422,-123.138867890,1.1,http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,Shaughnessy,"20,2"
W,49.244954121,-123.101517459,1.1,http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,Riley Park,"20,2"
W,49.245830300,-123.122335522,1.1,http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,South Cambie,"20,2"
W,49.246839124,-123.070496668,1.1,http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,Kensington-Cedar Cottage,"20,2"
W,49.248189146,-123.038793772,1.1,http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,Renfrew-Collingwood,"20,2"
W,49.220437592,-123.063745159,1.1,http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,Victoria-Fraserview,"20,2"
W,49.225098960,-123.121965137,1.1,http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,Oakridge,"20,2"
W,49.218819628,-123.036324143,1.1,http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,Killarney,"20,2"
W,49.219301386,-123.091508909,1.1,http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,Sunset,"20,2"
W,49.210017214,-123.129178247,1.1,http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,Marpole,"20,2"
W,49.224024174,-123.159310176,1.1,http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,Kerrisdale,"20,2"
W,49.238770168,-123.187580412,1.1,http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,Dunbar-Southlands,"20,2"
W,49.266813097,-123.203266988,1.1,http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,West Point Grey,"20,2"
W,49.265831964,-123.164365873,1.1,http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,Kitsilano,"20,2"
W,49.263254211,-123.130439426,1.1,http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,Fairview,"20,2"
W,49.262391880,-123.101199396,1.1,http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,Mount Pleasant,"20,2"
W,49.245727229,-123.105487516,1.1,http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,Downtown,"20,2"
W,49.286084279,-123.134352067,1.1,http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,West End,"20,2"
W,49.275330262,-123.088606734,1.1,http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,Strathcona,"20,2"
W,49.274614547,-123.065973006,1.1,http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,Grandview-Woodland,"20,2"
W,49.275940488,-123.038134479,1.1,http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,Hastings-Sunrise,"20,2"
